epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.0563,2.32629,7.88738,0.77443,3.23463,2.46602,0.5875,0.31944,0.40237,0.07898,0.58731,0.33333,0.26454,0.09312,2.32872,6.6331,0.4475,3.35381,2.86615,5.001e-05,5.001e-05,5.001e-05
2,5.49234,2.0135,7.71212,0.68216,3.20332,2.02108,0.51982,0.55556,0.4529,0.16075,0.42276,0.44444,0.1985,0.05538,2.19227,6.29563,0.29824,2.67268,2.62331,0.00011438,0.00011438,0.00011438
3,6.52132,1.81407,7.85446,0.57147,2.64569,1.89806,0.48125,0.66667,0.73283,0.27051,0.09283,0.22222,0.02321,0.00478,1.96737,6.30402,0.14654,6.30033,2.22349,0.000176109,0.000176109,0.000176109
4,7.55626,1.48929,7.18209,0.45525,2.23589,1.5558,0.735,1,0.8465,0.36721,0.19574,0.22222,0.08365,0.0213,1.67361,6.09636,0.10021,2.92137,1.77729,0.000235197,0.000235197,0.000235197
5,8.52952,1.52127,6.92663,0.39694,1.81644,1.42082,0.80963,0.94772,0.88625,0.39739,0.28687,0.33333,0.10905,0.02322,1.67414,6.05453,0.09777,2.45026,1.74891,0.000291645,0.000291645,0.000291645
6,9.42595,1.34673,5.99329,0.43889,1.7365,1.44813,0.85718,0.77778,0.82884,0.39084,0.36705,0.33333,0.19516,0.03278,1.66706,6.10995,0.10595,2.08168,1.64595,0.000345452,0.000345452,0.000345452
7,10.3338,1.47743,6.41964,0.41269,1.89637,1.49903,0.68343,1,0.8175,0.34741,0.43587,0.22222,0.11741,0.02,1.8492,6.43237,0.14796,2.0311,1.83116,0.000396619,0.000396619,0.000396619
8,11.2217,1.32882,6.63718,0.3115,1.76185,1.33341,0.71643,0.88889,0.66564,0.3656,0.09307,0.11111,0.01678,0.00503,1.67913,6.6963,0.1677,2.83971,1.80305,0.000445146,0.000445146,0.000445146
9,12.0928,1.29104,6.23995,0.42735,1.49716,1.352,0.59821,0.88889,0.62008,0.35112,0.06139,0.11111,0.00993,0.00199,1.61288,6.67753,0.18284,3.98074,1.88688,0.000491032,0.000491032,0.000491032
10,12.987,1.20078,6.37535,0.45303,1.51536,1.32378,0.70335,1,0.81778,0.22821,0.17355,0.33333,0.16399,0.03514,2.19832,6.72335,0.15997,3.61301,2.36673,0.000534277,0.000534277,0.000534277
11,13.8653,1.24768,6.35569,0.40666,1.49899,1.38719,0.70744,0.77778,0.74878,0.27816,0.21483,0.22222,0.16818,0.01717,2.23499,7.08131,0.14538,3.6077,2.53568,0.000574882,0.000574882,0.000574882
12,14.7589,1.14855,6.08498,0.3562,1.29805,1.22564,0.62723,1,0.8285,0.3337,0.07002,0.11111,0.03866,0.00415,1.69352,7.37914,0.14365,3.66616,1.91021,0.000612846,0.000612846,0.000612846
13,15.6692,1.09292,6.11325,0.36573,1.24414,1.20838,0.5991,1,0.86917,0.31873,0.00067,0.11111,0.0014,0.00014,1.79958,7.79585,0.16215,3.95033,2.07225,0.00064817,0.00064817,0.00064817
14,16.5503,1.13154,6.25187,0.32559,1.25677,1.19106,0.68857,0.98379,0.86282,0.3233,0.07813,0.11111,0.01945,0.00252,1.78905,7.69789,0.1958,3.13092,2.03833,0.000680853,0.000680853,0.000680853
15,17.464,1.21478,6.1171,0.39045,1.40654,1.27019,0.6039,0.88889,0.66365,0.31939,0.1233,0.22222,0.02859,0.00572,1.68278,7.09205,0.27148,2.02381,1.90663,0.000710895,0.000710895,0.000710895
16,18.3739,1.08811,6.17545,0.37826,1.28476,1.24905,0.60044,0.77778,0.69896,0.30929,0.13979,0.11111,0.0386,0.00446,1.68402,7.19516,0.2639,1.83359,1.86622,0.000738298,0.000738298,0.000738298
17,19.2112,1.06098,5.90672,0.35822,1.22252,1.17804,0.78174,0.88889,0.863,0.35736,0.11703,0.11111,0.01942,0.0022,1.57894,7.64326,0.16754,1.90539,1.77927,0.000763059,0.000763059,0.000763059
18,20.0979,1.03953,5.48828,0.33233,1.06568,1.15004,0.88084,1,0.8955,0.37515,0.00061,0.11111,0.00142,0.00014,1.58426,8.35972,0.1104,1.99199,1.75046,0.00078518,0.00078518,0.00078518
19,20.9518,1.07043,6.00519,0.35303,1.0496,1.16779,0.89842,0.98424,0.8955,0.38084,0.12563,0.11111,0.01671,0.00167,1.73975,8.54573,0.11632,1.91446,1.83622,0.000804661,0.000804661,0.000804661
20,21.8809,0.99001,5.64662,0.36113,1.0717,1.2018,0.88804,0.8821,0.86917,0.39059,0.12794,0.11111,0.02327,0.00233,1.84189,8.35849,0.13514,1.89401,1.92894,0.000821501,0.000821501,0.000821501
21,22.8092,0.95937,5.91489,0.34552,1.03999,1.11729,0.89895,0.98954,0.907,0.35068,0,0,0,0,1.82977,7.80929,0.18314,1.94679,1.85288,0.0008357,0.0008357,0.0008357
22,23.6922,0.95786,5.35019,0.33053,1.00215,1.12341,0.89946,1,0.907,0.3683,0,0,0,0,1.81252,7.78455,0.21046,2.00271,1.90448,0.000847259,0.000847259,0.000847259
23,24.6042,1.00581,5.84278,0.36098,1.02435,1.23275,0.81558,1,0.855,0.38107,0,0,0,0,1.7108,7.83921,0.26155,1.80795,1.97926,0.000856178,0.000856178,0.000856178
24,25.4884,1.02747,5.54371,0.33156,0.98244,1.16164,0.68236,0.77778,0.62306,0.32419,0,0,0,0,1.89313,7.80116,0.32643,1.81967,2.13163,0.000862456,0.000862456,0.000862456
25,26.3498,0.90527,5.06463,0.26748,0.94804,1.10921,0.76359,0.88889,0.90683,0.35468,0.30984,0.22222,0.09461,0.00946,1.9882,7.57764,0.34721,1.73432,2.20649,0.000866093,0.000866093,0.000866093
26,27.2207,1.01675,4.73257,0.26625,1.01155,1.20377,0.78177,0.88889,0.86457,0.27885,0.15037,0.11111,0.01942,0.00388,2.03269,7.6094,0.32809,1.71553,2.15574,0.000841835,0.000841835,0.000841835
27,28.0902,0.91408,4.75686,0.2843,0.89336,1.09687,0.813,0.9683,0.91389,0.31045,0.15964,0.11111,0.02326,0.00465,2.00698,7.75071,0.28118,1.61685,1.99436,0.000808828,0.000808828,0.000808828
28,28.993,0.99979,5.09671,0.32311,0.99017,1.18276,0.73691,1,0.90639,0.27116,0.15833,0.11111,0.01945,0.00194,2.0594,7.5749,0.23733,1.55616,2.02575,0.000775822,0.000775822,0.000775822
29,29.8877,0.97234,4.9093,0.32276,0.88397,1.10076,0.79608,0.86927,0.70833,0.28194,0.1311,0.11111,0.01674,0.00167,2.12086,7.68906,0.18939,1.68494,2.23749,0.000742815,0.000742815,0.000742815
30,30.7811,0.90483,4.81804,0.28451,0.88611,1.09153,0.80729,1,0.91389,0.29299,0,0,0,0,2.14686,7.73308,0.15747,1.84285,2.29053,0.000709809,0.000709809,0.000709809
